@relation supermarket-weka.filters.unsupervised.attribute.Remove-Rfirst-17-weka.filters.unsupervised.attribute.Remove-R170-200-weka.filters.unsupervised.attribute.Remove-R1-50

@attribute 'fruit drinks' {t}
@attribute 'delicatessen misc' {t}
@attribute department70 {t}
@attribute beef {t}
@attribute hogget {t}
@attribute lamb {t}
@attribute 'pet food' {t}
@attribute pork {t}
@attribute poultry {t}
@attribute veal {t}
@attribute 'gourmet meat' {t}
@attribute department79 {t}
@attribute department80 {t}
@attribute department81 {t}
@attribute 'produce misc' {t}
@attribute fruit {t}
@attribute plants {t}
@attribute potatoes {t}
@attribute vegetables {t}
@attribute flowers {t}
@attribute department88 {t}
@attribute department89 {t}
@attribute 'variety misc' {t}
@attribute brushware {t}
@attribute electrical {t}
@attribute haberdashery {t}
@attribute kitchen {t}
@attribute manchester {t}
@attribute pantyhose {t}
@attribute plasticware {t}
@attribute department98 {t}
@attribute stationary {t}
@attribute department100 {t}
@attribute department101 {t}
@attribute department102 {t}
@attribute 'prepared meals' {t}
@attribute 'preserving needs' {t}
@attribute condiments {t}
@attribute 'cooking oils' {t}
@attribute department107 {t}
@attribute department108 {t}
@attribute department109 {t}
@attribute department110 {t}
@attribute department111 {t}
@attribute department112 {t}
@attribute department113 {t}
@attribute department114 {t}
@attribute 'health food bulk' {t}
@attribute department116 {t}
@attribute department117 {t}
@attribute department118 {t}
@attribute department119 {t}
@attribute department120 {t}
@attribute 'bake off products' {t}
@attribute department122 {t}
@attribute department123 {t}
@attribute department124 {t}
@attribute department125 {t}
@attribute department126 {t}
@attribute department127 {t}
@attribute department128 {t}
@attribute department129 {t}
@attribute department130 {t}
@attribute 'small goods2' {t}
@attribute offal {t}
@attribute mutton {t}
@attribute 'trim pork' {t}
@attribute 'trim lamb' {t}
@attribute 'imported cheese' {t}
@attribute department137 {t}
@attribute department138 {t}
@attribute department139 {t}
@attribute department140 {t}
@attribute department141 {t}
@attribute department142 {t}
@attribute department143 {t}
@attribute department144 {t}
@attribute department145 {t}
@attribute department146 {t}
@attribute department147 {t}
@attribute department148 {t}
@attribute department149 {t}
@attribute department150 {t}
@attribute department151 {t}
@attribute department152 {t}
@attribute department153 {t}
@attribute department154 {t}
@attribute department155 {t}
@attribute department156 {t}
@attribute department157 {t}
@attribute department158 {t}
@attribute department159 {t}
@attribute department160 {t}
@attribute department161 {t}
@attribute department162 {t}
@attribute department163 {t}
@attribute department164 {t}
@attribute department165 {t}
@attribute department166 {t}
@attribute department167 {t}
@attribute department168 {t}
@attribute department169 {t}
@attribute department170 {t}
@attribute department171 {t}
@attribute department172 {t}
@attribute department173 {t}
@attribute department174 {t}
@attribute department175 {t}
@attribute department176 {t}
@attribute department177 {t}
@attribute department178 {t}
@attribute department179 {t}
@attribute 'casks white wine' {t}
@attribute 'casks red wine' {t}
@attribute '750ml white nz' {t}
@attribute '750ml red nz' {t}
@attribute '750ml white imp' {t}
@attribute '750ml red imp' {t}
@attribute 'sparkling nz' {t}

@data
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
